Date,Adj Close,Close,High,Low,Open,Volume,timestamp
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,
2025-04-23,155.16217041015625,155.35000610351562,157.52999877929688,153.80999755859375,155.61000061035156,31128800,2025-07-19 20:07:11.510139
2025-04-24,159.08740234375,159.27999877929688,159.58999633789062,155.7899932861328,156.14999389648438,45894000,2025-07-19 20:07:11.510139
2025-04-25,161.76417541503906,161.9600067138672,166.10000610351562,161.0399932861328,165.07000732421875,56034000,2025-07-19 20:07:11.510139
2025-04-28,160.41580200195312,160.61000061035156,163.14999389648438,158.60000610351562,162.42999267578125,29745800,2025-07-19 20:07:11.510139
2025-04-29,159.9663543701172,160.16000366210938,160.74000549316406,157.52000427246094,160.32000732421875,26809000,2025-07-19 20:07:11.510139
2025-04-30,158.6079864501953,158.8000030517578,159.27000427246094,155.39999389648438,157.97999572753906,34981100,2025-07-19 20:07:11.510139
2025-05-01,161.10496520996094,161.3000030517578,161.9499969482422,158.91000366210938,160.4499969482422,30203200,2025-07-19 20:07:11.510139
2025-05-02,163.8316650390625,164.02999877929688,164.97000122070312,161.8699951171875,163.41000366210938,25715000,2025-07-19 20:07:11.510139
2025-05-05,164.01145935058594,164.2100067138672,165.38999938964844,162.72000122070312,163.0,21341800,2025-07-19 20:07:11.510139
2025-05-06,163.03262329101562,163.22999572753906,164.8000030517578,161.19000244140625,162.1699981689453,21277200,2025-07-19 20:07:11.510139
2025-05-07,151.19696044921875,151.3800048828125,165.0,147.83999633789062,164.0800018310547,127490100,2025-07-19 20:07:11.510139
2025-05-08,154.0934600830078,154.27999877929688,155.92999267578125,152.89999389648438,155.0,57498700,2025-07-19 20:07:11.510139
2025-05-09,152.5653076171875,152.75,155.0500030517578,152.1999969482422,154.1699981689453,32435300,2025-07-19 20:07:11.510139
2025-05-12,158.26840209960938,158.4600067138672,159.10000610351562,156.25,157.49000549316406,44138800,2025-07-19 20:07:11.510139
2025-05-13,159.33709716796875,159.52999877929688,160.57000732421875,156.16000366210938,158.7899932861328,42382100,2025-07-19 20:07:11.510139
2025-05-14,165.1700439453125,165.3699951171875,167.0,159.61000061035156,159.9600067138672,48755900,2025-07-19 20:07:11.510139
2025-05-15,163.76174926757812,163.9600067138672,166.2100067138672,162.3699951171875,165.83999633789062,33146700,2025-07-19 20:07:11.510139
